file,W,participant,food_code_Y,trial_ZZ,serving_segment_idx,start_frame,end_frame,start_time_s,end_time_s,start_sample,end_sample,threshold_used,used_idleTail_calibration,debug_plot
1_001_06_01.pcm,1,001,6,1,16,2097,2141,24.357732426303855,24.856961451247166,1074176,1096704,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,17,2226,2270,25.855419501133788,26.354648526077096,1140224,1162752,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,18,2355,2399,27.353106575963718,27.85233560090703,1206272,1228800,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_01.pcm,1,001,6,1,19,2485,2528,28.862403628117914,29.350022675736962,1272832,1294848,-13.532949447631836,False,1_001_06_01_serving_segments.png
1_001_06_02.pcm,1,001,6,2,0,29,71,0.34829931972789113,0.8243083900226758,15359,36864,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,1,159,201,1.8575963718820863,2.3336054421768706,81920,103424,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,2,288,330,3.355283446712018,3.8312925170068026,147968,169472,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,3,417,459,4.85297052154195,5.328979591836735,214016,235520,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,4,546,589,6.350657596371882,6.8382766439909295,280064,302080,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,5,675,718,7.848344671201814,8.335963718820862,346112,368128,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,6,804,847,9.346031746031747,9.833650793650794,412160,434175,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,7,933,976,10.843718820861678,11.331337868480725,478208,500224,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,8,1063,1105,12.353015873015874,12.829024943310658,544768,566272,-12.951499938964844,False,1_001_06_02_serving_segments.png
1_001_06_02.pcm,1,001,6,2,9,1192,1235,13.850702947845805,14.338321995464852,610816,632832,-12.951499938964844,False,1_001_06_02_serving_segments.png
