model,feature,participant,accuracy,macro_f1,weighted_f1
SVM,combined,16,0.2543103448275862,0.1578294362623914,0.19212742915811754
SVM,combined,17,0.1103448275862069,0.09112091258793516,0.10508368904290964
SVM,combined,18,0.1724137931034483,0.15575783847285965,0.16004613792095765
SVM,combined,19,0.2956896551724138,0.23372356477823322,0.31746049403143944
SVM,combined,20,0.24543610547667344,0.23762549255704962,0.2397624362798533
SVM,combined,21,0.7327586206896551,0.723703419131771,0.723703419131771
SVM,combined,22,0.14051724137931035,0.11870142756914163,0.08958236172227771
SVM,combined,23,0.40763546798029554,0.39043435064070603,0.39484834013985776
SVM,combined,24,0.39655172413793105,0.3108324963141788,0.40440994554970133
SVM,combined,25,0.2988505747126437,0.2813101200132419,0.2947703270685801
SVM,combined,26,0.43842364532019706,0.4283102766798419,0.3957227555053642
SVM,combined,27,0.32662835249042144,0.2949779218764353,0.3165014884421714
SVM,combined,28,0.2867513611615245,0.2613070290275875,0.2603852739587699
SVM,combined,29,0.2103448275862069,0.2068878247149125,0.2068878247149125
SVM,combined,30,0.2912885662431942,0.26219338680090515,0.2690634891585176
SVM,combined,31,0.3103448275862069,0.2682415457256029,0.2649374155628995
SVM,combined,32,0.27586206896551724,0.2487605296325392,0.25466654778483305
SVM,combined,33,0.4525862068965517,0.42624398416184756,0.4656726070890285
SVM,combined,34,0.23427991886409735,0.21197769526509894,0.2465033442411484
SVM,combined,35,0.3163793103448276,0.31085011287822534,0.31085011287822534
SVM,combined,36,0.3058076225045372,0.30263777287780047,0.3057431102062971
SVM,combined,37,0.29945553539019965,0.3013056778178161,0.2973643726403077
SVM,combined,38,0.16227180527383367,0.15903127756774013,0.1624758837392155
SVM,combined,39,0.303639846743295,0.2855530679900058,0.30403875087058546
SVM,combined,40,0.2434077079107505,0.24518463424587625,0.23364387567060532
SVM,combined,41,0.26340996168582376,0.23701643937932373,0.24939291700996888
RF,stat,1,0.3694581280788177,0.31855688171463187,0.3271087725973395
RF,stat,2,0.19047619047619047,0.17780957663650532,0.18347608796313714
RF,stat,3,0.2099391480730223,0.20308008618906426,0.21675296504248737
RF,stat,4,0.27984084880636606,0.2652823664717814,0.2693588381635101
RF,stat,5,0.3329741379310345,0.3360634140248828,0.33485641954142215
RF,stat,6,0.27586206896551724,0.2477840889601262,0.25222055715951713
RF,stat,7,0.2857142857142857,0.1111111111111111,0.12698412698412698
RF,stat,8,0.37701149425287356,0.3418529021754828,0.3830511726425705
RF,stat,9,0.25,0.21118715689324624,0.200095036601084
RF,stat,10,0.15245009074410162,0.12419697843704731,0.17078558541551117
RF,stat,11,0.33793103448275863,0.31284464038955057,0.3635309600579062
RF,stat,12,0.15830721003134796,0.15306410042579965,0.17107609208249278
RF,stat,13,0.11699507389162561,0.09227219476124063,0.11887910956642649
RF,stat,14,0.22198275862068967,0.20333364016327912,0.20333364016327912
RF,stat,15,0.15086206896551724,0.13747691389368316,0.14087134220452435
RF,stat,16,0.19827586206896552,0.16359433919521102,0.17638629668415615
RF,stat,17,0.18850574712643678,0.18976297237053089,0.1860123634764244
RF,stat,18,0.1632183908045977,0.11791004691312955,0.14111630389280536
RF,stat,19,0.29310344827586204,0.2496799472201409,0.31984025532541177
RF,stat,20,0.3093306288032454,0.2932792718115252,0.3158579350125592
RF,stat,21,0.4482758620689655,0.38195138195138195,0.38195138195138195
RF,stat,22,0.23620689655172414,0.231755507005025,0.179465375773482
RF,stat,23,0.3620689655172414,0.35544924157058766,0.3600844087737445
RF,stat,24,0.5275862068965518,0.35415724124063735,0.5059040868647263
RF,stat,25,0.41379310344827586,0.37548875135082027,0.4012247437534794
RF,stat,26,0.2857142857142857,0.2222222222222222,0.12698412698412698
RF,stat,27,0.3505747126436782,0.342586985979742,0.3403029142623451
RF,stat,28,0.3393829401088929,0.3370193549793876,0.33263332196246664
RF,stat,29,0.2827586206896552,0.23867788073659701,0.23867788073659701
RF,stat,30,0.2867513611615245,0.2978768835626106,0.29170754376997743
RF,stat,31,0.2629310344827586,0.2305376241486702,0.2351752875972832
RF,stat,32,0.29219600725952816,0.2825942861731548,0.28992964300364393
RF,stat,33,0.4353448275862069,0.38602798952353073,0.44432081571932897
RF,stat,34,0.33874239350912777,0.3203724882731722,0.31817274009644264
RF,stat,35,0.3336206896551724,0.33266543849386754,0.3326654384938675
RF,stat,36,0.38021778584392013,0.3831438498777209,0.3800252991679138
RF,stat,37,0.4646098003629764,0.42468362807247667,0.41342195259287684
RF,stat,38,0.29918864097363085,0.2839390590404363,0.2973630370115048
RF,stat,39,0.20977011494252873,0.2142814092775219,0.22354469049026804
RF,stat,40,0.28498985801217036,0.2661230971311381,0.281922813077764
